420418,453071,3171,368,441638,443255,391,448855,451689,26,459560,420536,44529,430354,426479,3236,416762,27,429798,454727,376,210,3208,3195,329,21,20,22,20
412472,43900,3242,374,462848,461231,389,48706,431576,20,41757,423850,428809,463831,440788,3175,417732,24,463453,463724,337,214,3201,3164,318,215,28,25,22
440718,424316,3118,3207,445648,444600,3190,41124,449300,211,421083,45203,44138,453851,452335,3227,425207,27,462521,423628,3158,210,348,3226,3145,29,25,28,213
420418,453071,3171,368,441638,443255,344,448855,451689,26,459560,420536,452859,430354,417880,3236,42599,27,429798,454727,376,210,3208,3240,329,21,20,22,20
420418,453071,3189,349,441638,443255,391,448855,451689,26,459560,420536,44529,430354,426479,3236,416762,27,429798,454727,376,210,3208,3195,329,21,20,22,20
460027,413818,3108,311,455284,452737,3125,463650,450626,22,435897,44326,451333,413184,425645,3188,45894,20,449611,460362,3141,21,3172,3153,3105,24,25,29,23
41493,458060,3249,369,424337,453311,39,423408,433964,212,456994,422458,47456,439327,426706,3197,440457,28,429798,430388,335,20,3192,380,335,210,24,210,215
417162,438648,3121,3239,446608,449194,3243,450344,425979,29,42117,43342,462041,435943,419441,3186,460631,21,463453,419268,3213,29,349,3207,376,27,28,25,211
412472,43900,3242,330,462848,461231,389,48706,431576,20,41757,422458,428809,463831,440788,3175,417732,24,462521,463724,337,214,3201,3164,318,215,28,214,22
418730,419806,3110,3105,459640,434821,3202,457925,424175,214,445892,44952,459210,439327,445102,349,440744,22,462751,463724,3119,215,368,336,3112,211,28,215,215
412472,43900,3242,374,462848,461231,389,48706,431576,20,41757,423850,428809,463831,440788,3175,417732,24,463453,463724,337,211,3192,3164,343,215,28,25,22
420418,453071,3171,368,410539,443255,344,448855,451689,26,459560,420536,452859,430354,417880,3236,42599,27,429798,452744,376,210,3208,3240,329,24,20,22,20
418730,419806,3225,3105,459640,434821,3202,457925,424175,214,445892,44952,459210,418552,445102,3207,440744,20,462751,463724,3119,215,368,3248,3112,211,28,215,215
460027,413818,3108,311,455284,452737,3142,427077,462338,22,424996,4944,451333,451709,41077,3153,45894,20,460741,460362,3248,21,3172,3128,3105,24,25,29,215
41493,421230,3179,369,464293,422681,321,423408,433964,212,431855,422458,429125,439327,426706,3141,43660,28,43469,465304,335,20,3192,351,335,210,25,210,215
420418,453071,3171,368,441638,443255,391,448855,451689,24,459560,420536,44529,430354,426479,3236,416762,27,429798,454727,376,210,3208,3195,329,21,25,22,20
429469,41622,392,3116,461513,420747,3101,49369,410452,27,44761,443178,442506,44147,418208,390,448027,215,429798,442290,3142,215,39,3199,394,210,212,215,214
420418,453071,3171,368,441638,443255,344,49112,451689,26,459560,420536,411960,4179,417880,3164,42599,214,461371,454727,376,210,3213,3195,3252,215,20,22,20
420418,446880,3121,3239,446608,449194,3191,450344,425979,29,428937,460752,451333,424446,419441,3234,452238,21,459567,463724,3213,23,3145,3153,376,214,28,25,211
420418,413818,3108,311,455284,452737,3142,427077,462338,215,435897,44326,43269,44147,444888,3153,45894,29,452560,460362,3248,21,3172,3128,3105,24,20,29,23
439288,424316,3118,3207,445648,444600,3190,41124,449300,211,421083,45203,44138,453851,452335,3227,425207,27,449611,423628,3158,210,348,3226,3145,29,25,28,213
420418,453071,320,3112,441638,443255,344,448855,451689,26,459560,420536,452859,430354,417880,3236,42599,214,429798,454727,376,210,3208,3240,329,21,20,22,20
460027,413818,3232,311,455284,452737,3153,463650,450626,22,435897,44326,451333,413184,425645,3188,45894,20,416476,460362,3141,21,3172,3153,3105,24,213,214,23
433935,459636,3236,3112,48541,4417,3165,44911,411003,29,445976,41546,436890,456264,47500,3160,445001,212,416039,41456,33,26,3221,377,3171,26,213,23,210
412316,462412,3168,3244,49171,427424,3167,411040,415927,215,429170,462606,439967,442952,414133,3112,412008,215,452924,425557,3120,211,31,351,3157,27,210,21,21
412472,43900,3242,311,462848,461231,389,48706,431576,20,41757,423850,418503,45303,440788,343,417732,24,462521,463724,337,214,3201,3164,318,215,28,214,22
440718,424316,3118,3207,445648,444600,3190,41124,449300,20,421083,45203,44138,453851,452335,3227,425207,27,429798,423628,3158,210,3246,3226,3232,214,25,28,213
